GeoName;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Alabama;142233;142840;146887;152757;154826;159862;165283;171970;183443;201926;206677;216808;112921
Alaska ;213384;209245;220284;226726;222337;226079;235915;241948;247257;262435;275990;286420;150174
Arizona;145308;147424;152835;159278;164479;172751;180964;190728;208256;227889;235963;250120;129967
Arkansas;145146;145114;152824;157031;160694;165608;172091;174896;188365;211366;221258;230510;118462
California;191123;192248;202433;215276;223451;232877;243971;256856;280586;307275;307724;324971;172274
Colorado;181895;188276;200836;205607;205266;216615;231233;245115;258858;286825;306651;320240;165859
Connecticut;254224;247965;257941;264853;270119;276501;288667;296626;306094;327293;339936;359723;187823
Delaware;175043;175743;181414;188964;192728;199936;210634;215043;221846;238497;255897;267333;138204
District of Columbia;269805;268259;281730;299026;309834;318235;329153;334547;359315;390932;403596;427280;220734
Florida;164763;162840;171334;179688;182894;193781;204036;214568;226094;248734;258263;274731;142859
Georgia;149025;149876;158137;166063;170984;179334;186460;194133;205881;224204;229172;239488;124743
Hawaii ;174109;174284;181731;188595;194343;201952;206235;215692;227789;244298;250171;264657;138422
Idaho;139220;142800;148478;155194;158629;164877;172994;183491;198198;222011;228684;237506;123034
Illinois;183696;186940;194115;202721;205338;212193;224264;230933;246362;266693;274072;288939;149888
Indiana;156542;157747;162885;168538;172565;178214;186219;193070;206939;229137;235852;244937;128225
Iowa;170085;172031;176491;181765;182664;187081;195048;198696;210446;232900;246259;251078;127955
Kansas;179683;182661;185114;186417;186881;193028;201123;208562;220399;236112;249258;264422;136295
Kentucky;142496;143058;148871;155057;157246;161626;166621;173846;188247;207076;210773;221419;115769
Louisiana;162623;163980;170094;169943;168602;173927;181822;188052;200552;219926;222777;235340;123170
Maine;159935;159757;164602;171659;176923;183589;190880;199910;217012;236816;246865;260388;135677
Maryland;209965;207498;212318;220170;226405;232997;239645;246889;259464;276405;285202;301513;157552
Massachusetts;225028;224500;232587;246169;253882;264331;276814;289516;309216;335266;344638;362340;190063
Michigan;156139;157149;163319;171872;176292;181056;188361;194298;211200;227604;232022;244553;127430
Minnesota;189555;189653;197451;205374;207919;215319;224832;231639;245345;269933;279460;290237;149833
Mississippi;133738;135903;138489;140366;142535;146347;150459;156576;169757;187495;188449;198572;103282
Missouri;159896;160469;165489;170685;175267;179116;186700;193667;208502;226622;235982;250378;129940
Montana;160781;160591;167373;172337;173173;181541;188807;198518;213735;236034;246455;259916;134110
Nebraska;185537;183630;192766;198807;194804;198146;205748;214032;227052;254081;268157;285360;144714
Nevada;158640;157175;164343;175084;178748;187819;197060;207793;218800;243232;249993;264903;138959
New Hampshire;202873;201607;208011;216575;222688;231540;241303;255734;270032;294686;299552;315744;166018
New Jersey;216951;217489;225502;233658;239090;246852;256796;270038;281557;304242;310813;328356;170700
New Mexico;142757;139465;147461;150956;153883;156745;163825;172831;185989;202784;212246;221322;115289
New York;210488;211496;217958;226405;233561;248751;256886;265815;281476;303934;309862;329254;172963
North Carolina;155431;152237;159411;166391;170321;176793;184141;193450;206886;228012;235778;247304;129451
North Dakota;224050;217600;226563;212484;205207;207244;220678;226669;241595;263818;284777;288136;143746
Ohio;161050;162998;169099;175175;178263;184456;191264;197574;211419;229313;233497;245968;128384
Oklahoma;167554;174445;183453;177161;168249;175433;184048;192641;200041;218010;232117;242139;125026
Oregon;156497;157735;166510;176511;181954;190327;200827;208747;226402;249616;256355;271316;141419
Pennsylvania;182536;183585;189864;197139;202250;207498;217893;224507;240880;255318;261537;275746;142625
Rhode Island;181194;180418;186529;192192;194119;201561;208610;220443;236920;251754;257475;270194;141302
South Carolina;143142;143551;150870;158285;162912;169437;175179;184546;195016;212783;217693;229270;120007
South Dakota;179975;179969;186923;193065;193061;197711;206210;217640;237557;267956;279066;289830;147357
Tennessee;156341;156371;160878;167723;171723;177617;185820;195557;207903;229862;236874;248882;129446
Texas;175444;177475;186890;187065;183470;194066;205303;213007;219224;240711;251914;264946;136792
Utah;142472;144480;150488;159473;165234;172203;181896;192648;206898;232909;243175;256679;134657
Vermont;179375;181217;187516;192516;195217;200064;206762;217060;232323;243495;254496;267700;139459
Virginia;196216;192793;199039;206456;210597;217531;224481;233435;245613;267944;278770;295319;154241
Washington;188198;189705;200945;209539;217185;227288;239317;253694;270810;294501;302769;323678;168786
West Virginia;140938;140365;144972;148284;148307;155333;163966;170417;179428;195293;200450;211276;110441
Wisconsin;170527;170738;176624;183692;186348;193235;202070;209467;221855;241744;247929;259872;135263
Wyoming;214488;211564;224840;224673;213846;225279;236653;247290;260414;283908;305743;328194;170359
